RAM,Bağlantı Girişleri:,Bluetooth,CihazAgirligi,DokunmatikEkran,EkranBoyutu,GCMT,EkranKartiHafizasi,EkranKartiTipi,EkranKarti,EkranOzelligi,Garanti Tipi:,Görüntü Kalitesi:,HDMI:,Hard Disk Kapasitesi:,Kapasite:,Klavye:,Kullanım Amacı:,Optik Sürücü Tipi:,Optik Sürücü:,Panel Tipi:,Ram (Sistem Belleği):,Renk:,SSD Kapasitesi:,Web Color:,Çözünürlük Standartı:,Çözünürlük:,IslemciFrekansi,GHz,IslemciModeli,IslemciNesli,IslemciTipi,IslemciCekirdekSayisi,IsletimSistemi,SarJliKullanimSüresi,url,price
32,HDMI,1.0,0.0,1.0,"15,6 inç",1.0,4 GB,1.0,1.0,,Distribütör Garantili,,,,Yok,Numerik Tuşlu Aydınlatmalı,Oyun,Yok,,,16 GB,,512 GB,,,,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Numerik Tuşlu Aydınlatmalı,Oyun,https://www.trendyol.com//casper/excalibur-g770-9300-bvh0x-i5-9300h-rgb-16gb-500gb-m2-nvme-ssd-gtx1650-4gb-15-6-dos-p-32575495?boutiqueId=544519&merchantId=117444,9.900
12,HDMI,1.0,0.0,1.0,"15,6 inç",1.0,Paylaşımlı,0.0,1.0,HD,Distribütör Garantili,HD Ready,Var,,4 GB,Numerik Tuşlu,Ofis - İş,Yok,,VA,4 GB,Gümüş,256 GB,,HD Ready (HD),1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,4 GB,Numerik Tuşlu,Ofis - İş,https://www.trendyol.com//asus/d509da-br853-amd-ryzen3-3250u-4gb-256gb-ssd-15-6-free-dos-p-62344288?boutiqueId=544519&merchantId=105369,4.489
32,HDMI,0.0,0.0,0.0,14 inç,1.0,2 GB,1.0,1.0,Full HD,Distribütör Garantili,,Var,,8 GB,Q Türkçe,Ofis - İş,Yok,,IPS,8 GB,Gri,256 GB,,,1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,8 GB,Q Türkçe,Ofis - İş,https://www.trendyol.com//lenovo/ideapad-flex-5-14iil05-intel-core-i5-1035g1-8gb-256gb-ssd-mx330-w10-home-14-fhd-81x1008ktx-p-46666793?boutiqueId=544519&merchantId=104683,7.999
32,HDMI,1.0,0.0,1.0,"15,6 inç",1.0,4 GB,1.0,1.0,,Distribütör Garantili,,,,Yok,Q Türkçe,Oyun,,,IPS,16 GB,,256 GB,,,1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Oyun,https://www.trendyol.com//casper/excalibur-g770-1030-buh0x-intel-10-nesil-i5-1030-16gb-ram-256gb-m2-ssd-4gb-gtx1650-dos-p-39573071?boutiqueId=544519&merchantId=114258,8.449
32,HDMI,1.0,0.0,1.0,"15,6 inç",1.0,4 GB,1.0,1.0,Full HD,Distribütör Garantili,HD Ready,Var,,512 GB,Q Türkçe,Oyun,Yok,,TN,8 GB,Siyah,512 GB,,Full HD (FHD),1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,512 GB,Q Türkçe,Oyun,https://www.trendyol.com//msi/gf63-thin-10scsr-657xtr-intel-core-i5-10300h-8gb-512gb-ssd-gtx1650ti-freedos-15-6-fhd-p-46381929?boutiqueId=544519&merchantId=106248,11.099
32,HDMI,1.0,0.0,1.0,"15,6 inç",1.0,2 GB,1.0,1.0,Full HD,Distribütör Garantili,,,,Yok,Aydınlatmalı,Ofis - İş,Yok,,,8 GB,Siyah,512 GB,,,1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Aydınlatmalı,Ofis - İş,https://www.trendyol.com//lenovo/ideapad-l3-15iml-intel-core-i5-10210u-8gb-512gb-ssd-freedos-mx130-15-6-fhd-81y300gutx-p-42572326?boutiqueId=544519&merchantId=104683,7.685
32,HDMI,1.0,0.0,1.0,"15,6 inç",1.0,Paylaşımlı,0.0,1.0,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,DVD Dual Yazıcı,,,16 GB,Beyaz,256 GB,,,1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,1 TB,Q Türkçe,Ofis - İş,https://www.trendyol.com//asus/x412da-amd-ryzen-5-3500u-2-1ghz-8gb-256gb-ssd-amd-14-win-10-home-p-48149321?boutiqueId=544254&merchantId=110587,6.999
4,HDMI,1.0,1.0,1.0,14 inç,1.0,Paylaşımlı,0.0,1.0,HD,Distribütör Garantili,HD Ready,,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,4 GB,,120 GB,,HD Ready (HD),1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ofis - İş,https://www.trendyol.com//casper/nirvana-c350-5005-4c00e-intel-core-i3-5005u-4gb-120gb-ssd-windows-10-home-14-tasinabilir-bilgisayar-p-40440829?boutiqueId=544519&merchantId=110032,4.150
32,HDMI,1.0,1.0,1.0,13 inç,1.0,Paylaşımsız,0.0,1.0,Full HD,Distribütör Garantili,,,,Yok,Aydınlatmalı,Ofis - İş,Yok,,,8 GB,Gri,256 GB,,,2160 x 1440,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Aydınlatmalı,Ofis - İş,https://www.trendyol.com//huawei/matebook-13-2020-amd-ryzen-5-3500u-8gb-256gb-ssd-windows-10-home-tasinabilir-bilgisayar-p-47369022?boutiqueId=544519&merchantId=109358,6.488
32,HDMI,1.0,0.0,1.0,"15,6 inç",1.0,2 GB,1.0,1.0,HD,Distribütör Garantili,HD Ready,Var,,Yok,Q Türkçe,Ev - Okul,Yok,,TN,8 GB,Beyaz,256 GB,,,1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ev - Okul,https://www.trendyol.com//hp/1s7x5ea-15-da2074nt-i5-10210u-8gb-256gb-ssd-15-6-freedos-mx110-2gb-p-62264474?boutiqueId=544519&merchantId=105013,6.199
4,HDMI,1.0,0.0,1.0,14 inç,1.0,Paylaşımlı,0.0,1.0,HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,4 GB,Gri,120 GB,,,1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ofis - İş,https://www.trendyol.com//casper/nirvana-c350-4000-4c00e-14-intel-core-celeron-n4000-4gb-ram-120gb-ssd-w10-home-p-35664279?boutiqueId=544519&merchantId=105382,4.499
